supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day.1,month,year,Category,Subcategory,Quantity,Unit Price,Discount,Order ID,Customer ID,Order Date,Sales,Profit,Country,Region,County,Branch
Naivas,1,1,90,100,10,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:33:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,beauty & cosmetics,Foundation,4,79.94,0.17,ORD_4975,CUST_6110,2023-11-28 00:00:00,319.76,265.4,Kenya,Main Locations,Nairobi,Naivas HQ
Naivas,1,1,90,500,410,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,vegetables,Peppers,9,51.41,0.18,ORD_2995,CUST_2430,2023-07-11 00:00:00,462.69,379.41,Kenya,Main Locations,Nairobi,Naivas Spur Mall
Naivas,3,1,270,300,30,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:16:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,stationery,Pens,3,15.61,0.22,ORD_8078,CUST_1780,2023-04-06 00:00:00,46.83,36.53,Kenya,Main Locations,Nairobi,Naivas Lifestyle Foodmarket
Naivas,3,1,137,200,63,cash,yes,no,no,no,no,no,no,20/05/2017,no,19:12:00,night,small,saika,mid,saturday,weekend,no,20,5,2017,stationery,Folders,2,13.7,0.08,ORD_1176,CUST_8134,2023-12-15 00:00:00,27.4,25.21,Kenya,Main Locations,Nakuru,Naivas Naivasha Ndogo
Naivas,1,1,75,80,5,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:31:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017,food additives,Baking powder,8,12.79,0.24,ORD_7767,CUST_9102,2023-01-03 00:00:00,102.32,77.76,Kenya,Main Locations,Nakuru,Naivas Supercentre Nakuru
Naivas,22,3,5611,5611,0,card,yes,no,no,yes,yes,no,no,24/12/2016,no,16:26:00,afternoon,chain,cbd,mid,wednesday,weekday,yes,24,12,2016,beauty & cosmetics,Mascara,8,20.64,0.22,ORD_5746,CUST_8578,2023-08-11 00:00:00,165.12,128.79,Kenya,Main Locations,Nakuru,Naivasha Kubwa
Naivas,1,1,55,100,45,cash,yes,no,no,no,no,no,no,20/05/2017,no,18:23:00,afternoon,small,saika,mid,saturday,weekend,no,20,5,2017,stationery,Markers,7,16.99,0.29,ORD_5091,CUST_3633,2023-02-06 00:00:00,118.93,84.44,Kenya,Main Locations,Mombasa,Naivas Bombolulu
Naivas,32,3,7955,7955,0,mpesa,yes,no,no,yes,yes,no,no,2017-03-01 00:00:00,yes,19:03:00,night,median,yaya,high,tuesday,weekday,no,3,1,2017,snacks,Candy,8,16.23,0.19,ORD_4042,CUST_6267,2023-05-17 00:00:00,129.84,105.17,Kenya,Main Locations,Kiambu,Naivas Kiambu Town
Naivas,1,1,780,1000,220,cash,no,no,no,yes,no,no,no,27/03/2017,yes,19:34:00,night,chain,kilimani,high,monday,weekday,no,27,3,2017,snacks,Chocolate bars,8,56.2,0.27,ORD_5032,CUST_2645,2023-06-23 00:00:00,449.6,328.21,Kenya,Main Locations,Kiambu,Naivas Ananas
Naivas,1,1,235,500,265,cash,no,no,no,yes,no,no,no,15/05/2017,no,14:06:00,afternoon,small,saika,mid,monday,weekday,no,15,5,2017,stationery,Staplers,7,84.86,0.09,ORD_1609,CUST_7837,2023-05-21 00:00:00,594.02,540.56,Kenya,Main Locations,Kiambu,Naivas Thika Town
Naivas,33,6,13005,13001,0,card,yes,no,no,yes,yes,yes,no,2016-07-12 00:00:00,yes,08:56:00,morning,chain,donholm,mid,wednesday,weekday,no,7,12,2016,vegetables,Alliums,9,75.12,0.06,ORD_6008,CUST_2865,2023-09-06 00:00:00,676.08,635.52,Kenya,Main Locations,Kiambu,Naivas Juja City Foodmarket
Naivas,2,1,431,500,68,cash,yes,no,yes,no,yes,no,no,23/07/2016,yes,11:17:00,morning,chain,likoni,mid,saturday,weekend,no,23,7,2016,food additives,Turmeric powder,7,40.21,0.11,ORD_2117,CUST_5316,2023-07-09 00:00:00,281.47,250.51,Kenya,Main Locations,Kiambu,Naivas Limuru Express
Naivas,3,1,1000,1000,0,cash,no,no,no,yes,no,no,no,20/08/2016,no,09:07:00,morning,chain,cbd,mid,saturday,weekend,yes,20,8,2016,food additives,Soy sauce,3,73.28,0.2,ORD_7445,CUST_4484,2023-09-06 00:00:00,219.84,175.87,Kenya,Main Locations,Kiambu,Naivas Kiambu Foodmarket
Naivas,5,2,242,500,258,cash,no,no,no,no,no,yes,no,20/10/2016,no,17:41:00,afternoon,chain,makadara,mid,thursday,weekday,no,20,10,2016,fats and oils,Avocado oil,2,42.21,0.07,ORD_8753,CUST_8367,2023-11-03 00:00:00,84.42,78.51,Kenya,Main Locations,Machakos,Naivas Supercentre Machakos
Naivas,1,1,2420,2460,0,card,no,no,no,no,yes,no,no,2016-11-11 00:00:00,yes,08:16:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016,beauty & cosmetics,Shampoo,4,27.2,0.07,ORD_4497,CUST_3339,2023-06-04 00:00:00,108.8,101.18,Kenya,Main Locations,Machakos,Naivas Machakos Old
Naivas,12,2,4926,4926,0,card,yes,no,no,no,yes,no,no,2016-11-11 00:00:00,yes,08:44:00,morning,chain,kilimani,high,friday,weekday,no,11,11,2016,vegetables,Cruciferous vegetables,4,69.18,0.22,ORD_6452,CUST_1629,2023-06-13 00:00:00,276.72,215.84,Kenya,Central & Eastern,Nyeri,Naivas Nyeri
Naivas,4,2,5439,5439,0,mpesa,yes,no,no,no,no,no,no,28/11/2016,yes,06:49:00,morning,chain,kilimani,high,monday,weekday,no,28,11,2016,beverage,Energy drinks,4,41.92,0.03,ORD_8347,CUST_3247,2023-06-15 00:00:00,167.68,162.65,Kenya,Central & Eastern,Embu,Naivas Pearl Centre
Naivas,5,1,8110,8110,0,mpesa,no,no,no,no,yes,no,no,13/01/2017,yes,17:40:00,afternoon,chain,kilimani,high,friday,weekday,no,13,1,2017,fats and oils,Peanut oil,8,99.12,0.17,ORD_8424,CUST_2346,2023-03-18 00:00:00,792.96,658.16,Kenya,Central & Eastern,Embu,Naivas Embu
Naivas,3,1,221,300,79,cash,yes,no,no,no,no,no,no,2017-11-01 00:00:00,yes,14:31:00,afternoon,chain,kilimani,high,wednesday,weekday,no,11,1,2017,fats and oils,Avocado oil,8,83.87,0.18,ORD_4320,CUST_4216,2023-07-13 00:00:00,670.96,550.19,Kenya,Central & Eastern,Kitui,Naivas Kitui
Naivas,2,1,584,1000,496,cash,yes,no,no,no,no,no,no,2017-03-01 00:00:00,yes,09:00:00,morning,chain,kilimani,high,tuesday,weekday,no,3,1,2017,beauty & cosmetics,Moisturizers,2,98.59,0.06,ORD_5107,CUST_6144,2023-04-17 00:00:00,197.18,185.35,Kenya,Central & Eastern,Kajiado,Naivas Maiyan Mall
Naivas,5,1,850,850,0,card,no,no,yes,no,no,no,no,29/11/2016,yes,05:51:00,night,chain,kilimani,high,thursday,weekday,no,29,11,2016,stationery,Envelopes,7,54.63,0.27,ORD_8772,CUST_8771,2023-08-22 00:00:00,382.41,279.16,Kenya,Central & Eastern,Kajiado,Naivas Kitengela
Naivas,1,1,90,500,410,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:10:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,vegetables,Tubers,3,9.78,0.14,ORD_4563,CUST_4510,2023-01-23 00:00:00,29.34,25.23,Kenya,Central & Eastern,Narok,Naivas Narok
Naivas,1,1,175,205,30,cash,yes,no,no,no,no,no,no,21/05/2017,no,08:56:00,morning,small,saika,mid,sunday,weekday,no,21,5,2017,beauty & cosmetics,Conditioner,6,50.4,0.17,ORD_2111,CUST_1997,2023-07-02 00:00:00,302.4,250.99,Kenya,Western Region,Kisumu,Naivas Simba Foodmarket
Naivas,1,1,170,200,30,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:21:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,beauty & cosmetics,Foundation,7,54.47,0.19,ORD_4665,CUST_6944,2023-11-09 00:00:00,381.29,308.84,Kenya,Western Region,Kisumu,Naivas Mega City Foodmarket
Naivas,1,1,55,60,5,cash,no,no,yes,no,no,no,no,22/05/2017,no,13:47:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,beverage,Juices,4,18.77,0.14,ORD_1619,CUST_1035,2023-08-20 00:00:00,75.08,64.57,Kenya,Western Region,Kisumu,Naivas Kisumu CBD
Naivas,4,1,680,1670,970,cash,no,no,no,yes,no,no,no,22/05/2017,yes,13:32:00,afternoon,chain,donholm,mid,monday,weekday,no,22,5,2017,cleaning,Laundry detergent,2,79.43,0.23,ORD_4054,CUST_2745,2023-02-08 00:00:00,158.86,122.32,Kenya,Western Region,Bungoma,Naivas Bungoma
Naivas,9,3,1245,1500,255,cash,yes,no,no,yes,no,yes,no,22/05/2017,yes,10:51:00,morning,chain,donholm,mid,monday,weekday,no,22,5,2017,vegetables,Cruciferous vegetables,3,77.7,0.04,ORD_5752,CUST_3052,2023-02-11 00:00:00,233.1,223.78,Kenya,Western Region,Kisii,Naivas Kisii
Naivas,1,1,800,1000,200,cash,no,no,yes,no,yes,no,no,20/05/2017,no,19:37:00,night,chain,umoja,mid,saturday,weekend,no,20,5,2017,stationery,Paper clips,6,69.94,0.29,ORD_9123,CUST_6153,2023-04-05 00:00:00,419.64,297.94,Kenya,Northern Region,Eldoret,Naivas Eldoret Zion
Naivas,1,1,95,100,5,cash,no,no,yes,no,no,no,no,19/05/2017,no,20:10:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017,stationery,Markers,9,19.34,0.04,ORD_6528,CUST_1170,2023-01-28 00:00:00,174.06,167.1,Kenya,Northern Region,Eldoret,Naivas Eldoret Referral
